CoCA (GCoNet_ext-epCoCA): 0.0000 max-Emeasure || 0.6212 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
CoCA (GCoNet_ext-epCoCA): 0.7329 max-Emeasure || 0.6641 S-measure  || 0.5066 max-fm || 0.1318 mae || 0.6867 mean-Emeasure || 0.4749 mean-fm.
CoCA (GCoNet_ext-epCoCA): 0.7537 max-Emeasure || 0.6901 S-measure  || 0.5498 max-fm || 0.1145 mae || 0.7212 mean-Emeasure || 0.5272 mean-fm.
CoSOD3k (GCoNet_ext-epCoCA): 0.8738 max-Emeasure || 0.8309 S-measure  || 0.8010 max-fm || 0.0694 mae || 0.8619 mean-Emeasure || 0.7827 mean-fm.
CoSal2015 (GCoNet_ext-epCoCA): 0.9149 max-Emeasure || 0.8799 S-measure  || 0.8787 max-fm || 0.0550 mae || 0.9040 mean-Emeasure || 0.8607 mean-fm.
CoCA (GCoNet_ext-epCoCA): 0.7537 max-Emeasure || 0.6901 S-measure  || 0.5498 max-fm || 0.1145 mae || 0.7212 mean-Emeasure || 0.5272 mean-fm.
CoSOD3k (GCoNet_ext-epCoCA): 0.8738 max-Emeasure || 0.8309 S-measure  || 0.8010 max-fm || 0.0694 mae || 0.8619 mean-Emeasure || 0.7827 mean-fm.
CoCA (M-epCoCA): 0.6808 max-Emeasure || 0.5980 S-measure  || 0.3938 max-fm || 0.1669 mae || 0.6320 mean-Emeasure || 0.3660 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.0000 max-Emeasure || 0.8842 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9364 max-Emeasure || 0.8842 S-measure  || 0.8878 max-fm || 0.0709 mae || 0.8914 mean-Emeasure || 0.8310 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal150): 0.9020 max-Emeasure || 0.8469 S-measure  || 0.8282 max-fm || 0.0838 mae || 0.8410 mean-Emeasure || 0.7759 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9364 max-Emeasure || 0.8842 S-measure  || 0.8878 max-fm || 0.0709 mae || 0.8914 mean-Emeasure || 0.8310 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9364 max-Emeasure || 0.8842 S-measure  || 0.8878 max-fm || 0.0709 mae || 0.8914 mean-Emeasure || 0.8310 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal150): 0.9020 max-Emeasure || 0.8469 S-measure  || 0.8282 max-fm || 0.0838 mae || 0.8410 mean-Emeasure || 0.7759 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9069 max-Emeasure || 0.8453 S-measure  || 0.8403 max-fm || 0.0754 mae || 0.8454 mean-Emeasure || 0.7965 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9333 max-Emeasure || 0.8908 S-measure  || 0.8893 max-fm || 0.0621 mae || 0.9041 mean-Emeasure || 0.8601 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.0000 max-Emeasure || 0.6658 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.0000 max-Emeasure || 0.6658 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal1k): 0.0000 max-Emeasure || 0.6658 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.7133 max-Emeasure || 0.6658 S-measure  || 0.6299 max-fm || 0.2188 mae || 0.6870 mean-Emeasure || 0.6031 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal1k): 0.7133 max-Emeasure || 0.6658 S-measure  || 0.6299 max-fm || 0.2188 mae || 0.6870 mean-Emeasure || 0.6031 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9293 max-Emeasure || 0.8843 S-measure  || 0.8847 max-fm || 0.0663 mae || 0.9032 mean-Emeasure || 0.8527 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal1k): 0.0000 max-Emeasure || 0.6658 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.0000 max-Emeasure || 0.7199 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7588 max-Emeasure || 0.7199 S-measure  || 0.5561 max-fm || 0.0957 mae || 0.7139 mean-Emeasure || 0.5245 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSeg183): 0.9381 max-Emeasure || 0.8934 S-measure  || 0.8888 max-fm || 0.0602 mae || 0.9077 mean-Emeasure || 0.8578 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9381 max-Emeasure || 0.8934 S-measure  || 0.8888 max-fm || 0.0602 mae || 0.9077 mean-Emeasure || 0.8578 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal1k): 0.0000 max-Emeasure || 0.6658 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSeg183): 0.9381 max-Emeasure || 0.8934 S-measure  || 0.8888 max-fm || 0.0602 mae || 0.9077 mean-Emeasure || 0.8578 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9361 max-Emeasure || 0.8911 S-measure  || 0.8959 max-fm || 0.0685 mae || 0.8874 mean-Emeasure || 0.8483 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal1k): 0.0000 max-Emeasure || 0.6658 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSeg183): 0.9361 max-Emeasure || 0.8911 S-measure  || 0.8959 max-fm || 0.0685 mae || 0.8874 mean-Emeasure || 0.8483 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9361 max-Emeasure || 0.8911 S-measure  || 0.8959 max-fm || 0.0685 mae || 0.8874 mean-Emeasure || 0.8483 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal1k): 0.0000 max-Emeasure || 0.6658 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSeg183): 0.9361 max-Emeasure || 0.8911 S-measure  || 0.8959 max-fm || 0.0685 mae || 0.8874 mean-Emeasure || 0.8483 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9352 max-Emeasure || 0.8871 S-measure  || 0.8954 max-fm || 0.0565 mae || 0.9060 mean-Emeasure || 0.8749 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal1k): 0.0000 max-Emeasure || 0.6658 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSeg183): 0.8962 max-Emeasure || 0.8320 S-measure  || 0.8350 max-fm || 0.0774 mae || 0.8429 mean-Emeasure || 0.8044 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSeg183): 0.8962 max-Emeasure || 0.8320 S-measure  || 0.8350 max-fm || 0.0774 mae || 0.8429 mean-Emeasure || 0.8044 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9007 max-Emeasure || 0.8499 S-measure  || 0.8319 max-fm || 0.0782 mae || 0.8507 mean-Emeasure || 0.7937 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9148 max-Emeasure || 0.8578 S-measure  || 0.8519 max-fm || 0.0675 mae || 0.8733 mean-Emeasure || 0.8277 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9551 max-Emeasure || 0.9162 S-measure  || 0.9198 max-fm || 0.0425 mae || 0.9407 mean-Emeasure || 0.9003 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSag183): 0.8143 max-Emeasure || 0.7650 S-measure  || 0.6365 max-fm || 0.0646 mae || 0.7631 mean-Emeasure || 0.5882 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9551 max-Emeasure || 0.9162 S-measure  || 0.9198 max-fm || 0.0425 mae || 0.9407 mean-Emeasure || 0.9003 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9148 max-Emeasure || 0.8578 S-measure  || 0.8519 max-fm || 0.0675 mae || 0.8733 mean-Emeasure || 0.8277 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8164 max-Emeasure || 0.7690 S-measure  || 0.6368 max-fm || 0.0647 mae || 0.7717 mean-Emeasure || 0.5947 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9163 max-Emeasure || 0.8595 S-measure  || 0.8535 max-fm || 0.0668 mae || 0.8672 mean-Emeasure || 0.8219 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9037 max-Emeasure || 0.8540 S-measure  || 0.8488 max-fm || 0.0677 mae || 0.8688 mean-Emeasure || 0.8284 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9386 max-Emeasure || 0.8977 S-measure  || 0.9014 max-fm || 0.0514 mae || 0.9227 mean-Emeasure || 0.8858 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7521 max-Emeasure || 0.7315 S-measure  || 0.5728 max-fm || 0.0918 mae || 0.7156 mean-Emeasure || 0.5474 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8143 max-Emeasure || 0.7650 S-measure  || 0.6365 max-fm || 0.0646 mae || 0.7631 mean-Emeasure || 0.5882 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9148 max-Emeasure || 0.8578 S-measure  || 0.8519 max-fm || 0.0675 mae || 0.8733 mean-Emeasure || 0.8277 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9140 max-Emeasure || 0.8674 S-measure  || 0.8532 max-fm || 0.0663 mae || 0.8796 mean-Emeasure || 0.8246 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8030 max-Emeasure || 0.7574 S-measure  || 0.6251 max-fm || 0.0736 mae || 0.7427 mean-Emeasure || 0.5765 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9370 max-Emeasure || 0.8984 S-measure  || 0.8973 max-fm || 0.0578 mae || 0.9154 mean-Emeasure || 0.8700 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9381 max-Emeasure || 0.8883 S-measure  || 0.8927 max-fm || 0.0604 mae || 0.9186 mean-Emeasure || 0.8618 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8001 max-Emeasure || 0.7347 S-measure  || 0.5974 max-fm || 0.0780 mae || 0.7284 mean-Emeasure || 0.5400 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7745 max-Emeasure || 0.7422 S-measure  || 0.5936 max-fm || 0.0825 mae || 0.7254 mean-Emeasure || 0.5499 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9488 max-Emeasure || 0.9062 S-measure  || 0.9054 max-fm || 0.0520 mae || 0.9226 mean-Emeasure || 0.8767 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9078 max-Emeasure || 0.8567 S-measure  || 0.8459 max-fm || 0.0747 mae || 0.8593 mean-Emeasure || 0.8075 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9138 max-Emeasure || 0.8559 S-measure  || 0.8484 max-fm || 0.0748 mae || 0.8545 mean-Emeasure || 0.8018 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9466 max-Emeasure || 0.9027 S-measure  || 0.9073 max-fm || 0.0547 mae || 0.9165 mean-Emeasure || 0.8727 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9450 max-Emeasure || 0.9068 S-measure  || 0.9078 max-fm || 0.0479 mae || 0.9314 mean-Emeasure || 0.8878 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9109 max-Emeasure || 0.8602 S-measure  || 0.8478 max-fm || 0.0673 mae || 0.8766 mean-Emeasure || 0.8268 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8023 max-Emeasure || 0.7552 S-measure  || 0.6238 max-fm || 0.0753 mae || 0.7442 mean-Emeasure || 0.5772 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.0000 max-Emeasure || 0.3752 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.0000 max-Emeasure || 0.3752 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSeg183): 0.0000 max-Emeasure || 0.4425 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.0000 max-Emeasure || 0.5142 S-measure  || 0.0000 max-fm || 1.0000 mae || 0.0000 mean-Emeasure || 0.0000 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9433 max-Emeasure || 0.8970 S-measure  || 0.8972 max-fm || 0.0629 mae || 0.9061 mean-Emeasure || 0.8509 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8018 max-Emeasure || 0.7428 S-measure  || 0.6247 max-fm || 0.0849 mae || 0.7250 mean-Emeasure || 0.5497 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7843 max-Emeasure || 0.7253 S-measure  || 0.5954 max-fm || 0.0938 mae || 0.7036 mean-Emeasure || 0.5339 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8353 max-Emeasure || 0.7684 S-measure  || 0.6672 max-fm || 0.0684 mae || 0.7644 mean-Emeasure || 0.5932 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9536 max-Emeasure || 0.9071 S-measure  || 0.9061 max-fm || 0.0563 mae || 0.9165 mean-Emeasure || 0.8678 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9211 max-Emeasure || 0.8667 S-measure  || 0.8552 max-fm || 0.0734 mae || 0.8658 mean-Emeasure || 0.8127 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9114 max-Emeasure || 0.8542 S-measure  || 0.8456 max-fm || 0.0783 mae || 0.8464 mean-Emeasure || 0.7960 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9137 max-Emeasure || 0.8619 S-measure  || 0.8514 max-fm || 0.0723 mae || 0.8603 mean-Emeasure || 0.8078 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9298 max-Emeasure || 0.8884 S-measure  || 0.8856 max-fm || 0.0651 mae || 0.8985 mean-Emeasure || 0.8537 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7843 max-Emeasure || 0.7538 S-measure  || 0.6077 max-fm || 0.0751 mae || 0.7413 mean-Emeasure || 0.5678 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7832 max-Emeasure || 0.7367 S-measure  || 0.5853 max-fm || 0.0850 mae || 0.7181 mean-Emeasure || 0.5361 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9081 max-Emeasure || 0.8569 S-measure  || 0.8378 max-fm || 0.0757 mae || 0.8512 mean-Emeasure || 0.7920 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8794 max-Emeasure || 0.8351 S-measure  || 0.8081 max-fm || 0.0777 mae || 0.8537 mean-Emeasure || 0.7897 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9359 max-Emeasure || 0.8909 S-measure  || 0.8919 max-fm || 0.0551 mae || 0.9194 mean-Emeasure || 0.8685 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8285 max-Emeasure || 0.7667 S-measure  || 0.6505 max-fm || 0.0666 mae || 0.7705 mean-Emeasure || 0.5990 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7867 max-Emeasure || 0.7392 S-measure  || 0.6061 max-fm || 0.0862 mae || 0.7282 mean-Emeasure || 0.5504 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8378 max-Emeasure || 0.7784 S-measure  || 0.6578 max-fm || 0.0593 mae || 0.7759 mean-Emeasure || 0.5981 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8923 max-Emeasure || 0.8452 S-measure  || 0.8167 max-fm || 0.0799 mae || 0.8476 mean-Emeasure || 0.7812 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9485 max-Emeasure || 0.9023 S-measure  || 0.8982 max-fm || 0.0576 mae || 0.9155 mean-Emeasure || 0.8601 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9443 max-Emeasure || 0.9071 S-measure  || 0.9096 max-fm || 0.0497 mae || 0.9282 mean-Emeasure || 0.8838 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8032 max-Emeasure || 0.7669 S-measure  || 0.6269 max-fm || 0.0661 mae || 0.7656 mean-Emeasure || 0.5925 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9060 max-Emeasure || 0.8632 S-measure  || 0.8459 max-fm || 0.0648 mae || 0.8792 mean-Emeasure || 0.8275 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9443 max-Emeasure || 0.9071 S-measure  || 0.9096 max-fm || 0.0497 mae || 0.9282 mean-Emeasure || 0.8838 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8032 max-Emeasure || 0.7669 S-measure  || 0.6269 max-fm || 0.0661 mae || 0.7656 mean-Emeasure || 0.5925 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7963 max-Emeasure || 0.7528 S-measure  || 0.6124 max-fm || 0.0776 mae || 0.7435 mean-Emeasure || 0.5707 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.9118 max-Emeasure || 0.8532 S-measure  || 0.7761 max-fm || 0.0329 mae || 0.8780 mean-Emeasure || 0.7316 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9220 max-Emeasure || 0.8747 S-measure  || 0.8657 max-fm || 0.0665 mae || 0.8922 mean-Emeasure || 0.8406 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8596 max-Emeasure || 0.7989 S-measure  || 0.7636 max-fm || 0.0981 mae || 0.8148 mean-Emeasure || 0.7340 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.9118 max-Emeasure || 0.8532 S-measure  || 0.7761 max-fm || 0.0329 mae || 0.8780 mean-Emeasure || 0.7316 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8055 max-Emeasure || 0.7608 S-measure  || 0.6282 max-fm || 0.0745 mae || 0.7546 mean-Emeasure || 0.5805 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7619 max-Emeasure || 0.7295 S-measure  || 0.5804 max-fm || 0.0937 mae || 0.7162 mean-Emeasure || 0.5423 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.8989 max-Emeasure || 0.8513 S-measure  || 0.8357 max-fm || 0.0747 mae || 0.8611 mean-Emeasure || 0.8075 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9074 max-Emeasure || 0.8677 S-measure  || 0.8523 max-fm || 0.0666 mae || 0.8837 mean-Emeasure || 0.8286 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9083 max-Emeasure || 0.8677 S-measure  || 0.8503 max-fm || 0.0670 mae || 0.8820 mean-Emeasure || 0.8283 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9043 max-Emeasure || 0.8565 S-measure  || 0.8372 max-fm || 0.0742 mae || 0.8590 mean-Emeasure || 0.8001 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9212 max-Emeasure || 0.8748 S-measure  || 0.8586 max-fm || 0.0631 mae || 0.8910 mean-Emeasure || 0.8280 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9116 max-Emeasure || 0.8679 S-measure  || 0.8494 max-fm || 0.0688 mae || 0.8774 mean-Emeasure || 0.8114 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9166 max-Emeasure || 0.8693 S-measure  || 0.8546 max-fm || 0.0656 mae || 0.8814 mean-Emeasure || 0.8231 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9456 max-Emeasure || 0.8980 S-measure  || 0.9067 max-fm || 0.0563 mae || 0.9203 mean-Emeasure || 0.8645 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8106 max-Emeasure || 0.7414 S-measure  || 0.6323 max-fm || 0.0810 mae || 0.7272 mean-Emeasure || 0.5526 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.8043 max-Emeasure || 0.7510 S-measure  || 0.6256 max-fm || 0.0765 mae || 0.7513 mean-Emeasure || 0.5717 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7918 max-Emeasure || 0.7517 S-measure  || 0.6062 max-fm || 0.0753 mae || 0.7413 mean-Emeasure || 0.5632 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7862 max-Emeasure || 0.7362 S-measure  || 0.5978 max-fm || 0.0869 mae || 0.7291 mean-Emeasure || 0.5441 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7880 max-Emeasure || 0.7465 S-measure  || 0.5942 max-fm || 0.0786 mae || 0.7381 mean-Emeasure || 0.5506 mean-fm.
RGBD_CoSeg183 (M-epRGBD_CoSeg183): 0.7880 max-Emeasure || 0.7465 S-measure  || 0.5942 max-fm || 0.0786 mae || 0.7381 mean-Emeasure || 0.5506 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9035 max-Emeasure || 0.8584 S-measure  || 0.8357 max-fm || 0.0710 mae || 0.8663 mean-Emeasure || 0.8032 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9004 max-Emeasure || 0.8540 S-measure  || 0.8323 max-fm || 0.0721 mae || 0.8612 mean-Emeasure || 0.7997 mean-fm.
RGBD_CoSal1k (M-epRGBD_CoSal1k): 0.9055 max-Emeasure || 0.8595 S-measure  || 0.8379 max-fm || 0.0699 mae || 0.8643 mean-Emeasure || 0.8036 mean-fm.
RGBD_CoSal150 (M-epRGBD_CoSal150): 0.9467 max-Emeasure || 0.9038 S-measure  || 0.9025 max-fm || 0.0554 mae || 0.9193 mean-Emeasure || 0.8690 mean-fm.
